property_type,place_with_parent_names,region,lat-lon,area_m2,price_usd
house,|Brasil|Bahia|Saubara|,Northeast,"-12.7732,-38.789162",120.0,"$81,133.37"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",110.0,"$112,338.51"
house,|Brasil|Bahia|Lauro de Freitas|Miragem|,Northeast,"-12.852844,-38.32711",151.0,"$118,579.54"
apartment,|Brasil|Bahia|Salvador|Itapuã|,Northeast,"-12.938337,-38.362667",85.0,"$90,494.91"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",115.0,"$152,905.19"
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.001169,-38.49419",58.0,"$109,217.99"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",191.0,"$207,514.19"
apartment,|Brasil|Bahia|Salvador|Vila Laura|,Northeast,,61.0,"$116,020.72"
house,|Brasil|Bahia|Salvador|,Northeast,,244.0,"$393,184.79"
apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.958966,-38.405651",170.0,"$202,833.42"
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.9349962,-38.3576186",67.0,"$215,647.81"
apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",185.0,"$138,862.88"
apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,"-13.004878,-38.532276",56.0,"$81,133.37"
apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,,80.0,"$118,579.54"
apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,"-13.004878,-38.532276",95.0,"$109,217.99"
apartment,|Brasil|Bahia|Salvador|Candeal|,Northeast,"-12.996323,-38.481049",120.0,"$112,338.51"
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",110.0,"$112,338.51"
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",110.0,"$118,579.54"
apartment,|Brasil|Bahia|Salvador|Jardim Apipema|,Northeast,"-13.002217,-38.516796",114.0,"$241,839.85"
apartment,|Brasil|Bahia|Salvador|Jardim Apipema|,Northeast,"-13.002217,-38.516796",98.0,"$155,713.66"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",83.0,"$134,119.70"
apartment,|Brasil|Bahia|Salvador|Engenho Velho da Federação|,Northeast,"-13.007612,-38.49474",102.0,"$190,507.39"
apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",63.0,"$196,592.39"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",80.0,"$99,856.45"
apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",120.0,"$84,253.88"
apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",115.0,"$115,459.02"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",80.0,"$107,657.74"
apartment,|Brasil|Bahia|Salvador|Matatu|,Northeast,"-12.974552,-38.496819",80.0,"$92,991.32"
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.974552,-38.496819",70.0,"$87,374.39"
apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,,83.0,"$171,628.28"
apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,"-12.9857,-38.519516",143.0,"$202,833.42"
house,|Brasil|Bahia|Salvador|Praia do Flamengo|,Northeast,"-12.920561,-38.318233",140.0,"$106,097.48"
house,|Brasil|Bahia|Alagoinhas|,Northeast,"-12.12635,-38.40873",197.0,"$148,224.42"
apartment,|Brasil|Bahia|Salvador|Itaigara|,Northeast,"-12.991933,-38.465279",114.0,"$152,905.19"
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.007857,-38.498463",95.0,"$101,416.71"
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.010818,-38.48336",90.0,"$109,217.99"
apartment,|Brasil|Bahia|Salvador|Horto Florestal|,Northeast,"-13.000164,-38.489021",152.0,"$327,653.99"
house,|Brasil|Bahia|Itaparica|,Northeast,"-12.905073,-38.684437",66.0,"$171,628.28"
apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.98223,-38.43898",244.0,"$187,230.85"
apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,"-13.004878,-38.532276",206.0,"$374,461.71"
apartment,|Brasil|Bahia|Salvador|Jardim Apipema|,Northeast,"-13.002785,-38.519222",195.0,"$243,400.11"
house,|Brasil|Bahia|Lauro de Freitas|Ipitanga|,Northeast,"-12.852844,-38.32711",110.0,"$93,615.42"
apartment,|Brasil|Bahia|Salvador|Itaigara|,Northeast,"-12.991933,-38.465279",151.0,"$143,543.65"
house,|Brasil|Bahia|Lauro de Freitas|Ipitanga|,Northeast,,150.0,"$96,735.94"
apartment,|Brasil|Bahia|Salvador|Luís Anselmo|,Northeast,"-12.974986,-38.490906",125.0,"$90,463.70"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",70.0,"$74,892.34"
apartment,|Brasil|Bahia|Salvador|Vitória|,Northeast,"-12.993533,-38.526047",184.0,"$374,461.71"
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.009679,-38.486305",106.0,"$118,579.54"
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.010818,-38.48336",92.0,"$82,693.62"
apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",115.0,"$177,869.31"
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.010534,-38.485542",78.0,"$96,735.94"
apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",115.0,"$115,459.02"
apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",71.0,"$84,253.88"
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.992462,-38.444553",59.0,"$113,898.77"
apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",142.0,"$115,146.97"
apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",82.0,"$81,133.37"
house,|Brasil|Bahia|Salvador|Itaigara|,Northeast,"-12.991933,-38.465279",250.0,"$374,461.71"
apartment,|Brasil|Bahia|Salvador|Itaigara|,Northeast,"-12.991933,-38.465279",95.0,"$187,230.85"
apartment,|Brasil|Bahia|Salvador|Jardim Apipema|,Northeast,"-13.00525,-38.516327",90.0,"$184,110.34"
apartment,|Brasil|Bahia|Salvador|Jardim Apipema|,Northeast,"-13.002785,-38.519222",215.0,"$374,461.71"
apartment,|Brasil|Bahia|Salvador|Parque Bela Vista|,Northeast,"-12.985579,-38.470348",54.0,"$92,679.27"
apartment,|Brasil|Bahia|Salvador|Parque Bela Vista|,Northeast,"-12.985591,-38.469273",78.0,"$134,182.11"
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.009664,-38.486431",186.0,"$411,471.01"
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.009679,-38.486305",220.0,"$343,256.56"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",203.0,"$265,243.71"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",114.0,"$202,833.42"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",180.0,"$265,243.71"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,,98.0,"$174,748.79"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",235.0,"$165,387.25"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",155.0,"$310,491.16"
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.993305,-38.45739",155.0,"$296,448.85"
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,,198.0,"$218,435.99"
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",195.0,"$452,474.56"
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",127.0,"$180,989.82"
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",128.0,"$152,905.19"
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,,111.0,"$174,748.79"
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",186.0,"$234,038.56"
apartment,|Brasil|Bahia|Salvador|Jaguaribe|,Northeast,"-12.94999,-38.391624",212.0,"$415,028.39"
apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",98.0,"$227,797.54"
apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",55.0,"$140,423.14"
apartment,|Brasil|Bahia|Salvador|Vitória|,Northeast,"-12.993533,-38.526047",168.0,"$312,051.42"
apartment,|Brasil|Bahia|Salvador|Pituaçu|,Northeast,"-12.964468,-38.417938",180.0,"$277,725.76"
apartment,|Brasil|Bahia|Salvador|Boca do Rio|,Northeast,"-12.970389,-38.424129",75.0,"$85,703.40"
apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.951526,-38.392464",116.0,"$208,450.35"
apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.951526,-38.392464",143.0,"$253,385.75"
apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.96049,-38.405239",210.0,"$327,653.99"
apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.96049,-38.405239",139.0,"$234,038.56"
apartment,|Brasil|Bahia|Salvador|Stiep|,Northeast,"-12.983234,-38.443928",75.0,"$131,061.59"
apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.984901,-38.439594",128.0,"$234,038.56"
apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.98223,-38.43898",59.0,"$145,790.42"
apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.981397,-38.441444",70.0,"$126,880.10"
apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,"-13.002345,-38.528343",90.0,"$131,061.59"
apartment,|Brasil|Bahia|Salvador|Campo Grande|,Northeast,"-12.993533,-38.526047",170.0,"$202,833.42"
apartment,|Brasil|Bahia|Salvador|Campo Grande|,Northeast,"-12.993533,-38.526047",230.0,"$405,666.85"
apartment,|Brasil|Bahia|Salvador|Campo Grande|,Northeast,,210.0,"$246,520.62"
apartment,|Brasil|Bahia|Salvador|Canela|,Northeast,"-12.992472,-38.52298",100.0,"$227,797.54"
apartment,|Brasil|Bahia|Salvador|Canela|,Northeast,"-12.992102,-38.521461",185.0,"$212,194.96"
apartment,|Brasil|Bahia|Salvador|Engenho Velho de Brotas|,Northeast,"-12.982599,-38.499725",67.0,"$131,061.59"
apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",103.0,"$186,669.16"
apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",122.0,"$249,641.14"
apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",230.0,"$296,448.85"
apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",166.0,"$187,230.85"
apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",102.0,"$265,243.71"
apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",164.0,"$414,404.29"
apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",120.0,"$98,296.19"
apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.970966,-38.436806",89.0,"$160,706.48"
apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.968704,-38.435516",109.0,"$146,664.17"
apartment,|Brasil|Bahia|Salvador|Candeal|,Northeast,"-12.993493,-38.477962",71.0,"$106,097.48"
apartment,|Brasil|Bahia|Salvador|Candeal|,Northeast,,63.0,"$106,097.48"
apartment,|Brasil|Bahia|Salvador|Candeal|,Northeast,"-12.993493,-38.477962",100.0,"$109,217.99"
apartment,|Brasil|Bahia|Salvador|Candeal|,Northeast,"-12.99183,-38.477451",100.0,"$146,664.17"
apartment,|Brasil|Bahia|Salvador|Horto Florestal|,Northeast,"-13.002883,-38.486099",156.0,"$390,064.28"
apartment,|Brasil|Bahia|Salvador|Horto Florestal|,Northeast,,210.0,"$480,840.04"
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.994513,-38.479004",140.0,"$234,038.56"
house,|Brasil|Bahia|Lauro de Freitas|Estrada do Coco|,Northeast,"-12.852844,-38.32711",73.0,"$81,133.37"
house,|Brasil|Bahia|Lauro de Freitas|Estrada do Coco|,Northeast,,120.0,"$121,700.05"
apartment,|Brasil|Bahia|Lauro de Freitas|,Northeast,"-12.852844,-38.32711",71.0,"$81,133.37"
apartment,|Brasil|Bahia|Lauro de Freitas|,Northeast,"-12.852844,-38.32711",71.0,"$78,012.85"
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.941992,-38.403465",143.0,"$296,448.85"
apartment,|Brasil|Bahia|Salvador|Alphaville I|,Northeast,"-12.941992,-38.403465",158.0,"$180,989.82"
apartment,|Brasil|Bahia|Salvador|Pernambués|,Northeast,"-12.999527,-38.46265",75.0,"$77,388.75"
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.98223,-38.43898",128.0,"$235,843.06"
house,|Brasil|Bahia|Lauro de Freitas|,Northeast,"-12.852844,-38.32711",156.0,"$193,471.88"
house,|Brasil|Bahia|Lauro de Freitas|,Northeast,"-12.852844,-38.32711",170.0,"$171,628.28"
house,|Brasil|Bahia|Camaçari|,Northeast,,114.0,"$99,856.45"
apartment,|Brasil|Bahia|Lauro de Freitas|Vilas do Atlântico|,Northeast,"-12.852844,-38.32711",136.0,"$109,217.99"
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.98516,-38.482758",68.0,"$101,416.71"
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.001169,-38.49419",71.0,"$121,700.05"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",165.0,"$343,256.56"
apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",71.0,"$170,068.02"
apartment,|Brasil|Bahia|Salvador|Stiep|,Northeast,"-12.983234,-38.443928",72.0,"$118,579.54"
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.937969,-38.381538",83.0,"$132,621.85"
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.937969,-38.381538",67.0,"$99,856.45"
apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.974941,-38.440117",70.0,"$102,976.97"
apartment,|Brasil|Bahia|Salvador|Trobogy|,Northeast,"-12.931565,-38.40873",67.0,"$102,976.97"
apartment,|Brasil|Bahia|Salvador|Horto Florestal|,Northeast,"-13.002883,-38.486099",156.0,"$321,412.96"
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.941992,-38.403465",54.0,"$93,615.42"
apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,"-12.950598,-38.40873",195.0,"$390,064.28"
apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,"-12.950598,-38.40873",142.0,"$262,123.19"
apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,,112.0,"$212,194.96"
apartment,|Brasil|Bahia|Salvador|Alphaville I|,Northeast,"-12.941992,-38.403465",137.0,"$196,592.39"
apartment,|Brasil|Bahia|Salvador|,Northeast,,143.0,"$265,243.71"
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",128.0,"$152,905.19"
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",111.0,"$174,748.79"
